musicien,musicienLabel,image,sexe_ou_genre,sexe_ou_genreLabel,date_de_naissance
http://www.wikidata.org/entity/Q25186,Gus Van Sant,http://commons.wikimedia.org/wiki/Special:FilePath/Gus%20Van%20Sant-1352.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1952-07-24T00:00:00Z
http://www.wikidata.org/entity/Q25652,Martha Reeves,http://commons.wikimedia.org/wiki/Special:FilePath/Martha%20Reeves%202011%20at%20Berns%20in%20Stockholm%2C%20Sweden.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1941-07-18T00:00:00Z
http://www.wikidata.org/entity/Q25660,Orion,http://commons.wikimedia.org/wiki/Special:FilePath/Tomasz%20Wr%C3%B3blewski%20at%20Empik.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1980-06-02T00:00:00Z
http://www.wikidata.org/entity/Q25679,Richard Bona,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Bona-1.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1967-10-28T00:00:00Z
http://www.wikidata.org/entity/Q25820,Thomas Young,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Young%20by%20Briggs.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1773-06-13T00:00:00Z
http://www.wikidata.org/entity/Q25837,Nadia Styles,http://commons.wikimedia.org/wiki/Special:FilePath/Nadia%20Styles%20at%20AVN%20Adult%20Entertainment%20Expo%202008%20%285%29.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1982-06-25T00:00:00Z
http://www.wikidata.org/entity/Q25948,Richard Kleinmichel,,http://www.wikidata.org/entity/Q6581097,masculin,1846-12-31T00:00:00Z
http://www.wikidata.org/entity/Q26009,Janne Puurtinen,http://commons.wikimedia.org/wiki/Special:FilePath/Emerson%20Burton%20of%20HIM.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1974-10-17T00:00:00Z
http://www.wikidata.org/entity/Q26029,Mika Karppinen,http://commons.wikimedia.org/wiki/Special:FilePath/Gas%20Lipstick%20-%20Ilosaarirock%202007.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1971-02-08T00:00:00Z
http://www.wikidata.org/entity/Q26058,James Maslow,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Maslow%202019%20%28pujqknUWycM%29.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1990-07-16T00:00:00Z
http://www.wikidata.org/entity/Q26168,Anton Szandor LaVey,,http://www.wikidata.org/entity/Q6581097,masculin,1930-04-11T00:00:00Z
